wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740v 161 ROOT
78578v 17
78665v 8
78760v 288 ROOT
79470v 1
79629v 0
79788v 0
79951v 0
80169v 0
80304v 0
80456v 0
80589v 0
80705v 11
80929v 0
81072v 16
81367v 0
81509v 0
81725v 302
82081v 515
82308v 4
82563v 9
82714v 114
82929v 110
83124v 3
83334v 0
83523v 0
83661v 1
83809v 11
84107v 0
84230v 13
84562v 1
84738v 13
85046v 0
85246v 0
85353v 0
85506v 2
85626v 66
85907v 0
86077v 1
86320v 5
86598v 1
86835v 0
87290v 0
87454v 27
87653v 0
87736v 25
87988v 0
88120v 0
88209v 0
88339v 4
88532v 1
88713v 2
88972v 0
89154v 0
89324v 0
89602v 0
89750v 7
89973v 0
90075v 0
90186v 0
90386v 0
90513v 0
90708v 42
90888v 60
91124v 6
91513v 2
91647v 7
91851v 1
91968v 0
92204v 0
92293v 183
92690v 74
93020v 0
93163v 0
93327v 7
93593v 2
93775v 64
93979v 4
94153v 0
94312v 0
94460v 117
95012v 0
95271v 18
95377v 17
95595v 0
95747v 0
95870v 0
95990v 3
96136v 1
96264v 0
96396v 0
96520v 0
96648v 10
96766v 10
97394v 7
97621v 2
97781v 1
97941v 3
98083v 51
98346v 0
98517v 40
98770v 30
98963v 0
99089v 0
99184v 45
99374v 0
99517v 0
99721v 52 ROOT
100044v 8
100235v 0
100410v 0
100551v 3
100905v 0
101137v 0
101277v 4
101434v 30
101629v 2
101779v 0
101956v 8
102303v 2
102420v 0
102586v 50
102791v 0
102974v 0
103317v 52
103619v 3
103741v 0
103875v 1
104026v 0
104147v 3
104299v 1
104465v 0
104667v 0
104868v 508 ROOT
105333v 70
105554v 66
105778v 0
105958v 7
106217v 0
106412v 0
106592v 1
106723v 0
106843v 0
106960v 5
107110v 0
107231v 5
107369v 19
107468v 2
107604v 0
107739v 28
107943v 1 ROOT
108121v 0
108303v 2
108475v 11
108604v 7
108747v 11
108909v 1
109263v 1
109389v 0
109540v 0
109660v 36041 ROOT
113420v 0
113605v 3
113728v 0
113853v 3
114052v 3
114291v 0
114481v 0
114615v 0
114837v 6
115157v 66
116079v 0
116203v 0
116365v 0
116496v 0
116619v 0
116888v 0
117085v 0
117230v 0
117346v 21
117498v 0
117624v 0
117757v 0
117878v 0
117985v 1930
118435v 3
118523v 426
118764v 8 ROOT
118922v 0
119074v 1
119266v 3
119524v 2
119725v 0
119873v 4
120095v 0
120217v 4
120316v 2132
120675v 386
120796v 95
121046v 76
121214v 3
121387v 0
121506v 2
121678v 4
121926v 6
122097v 0
122289v 0
122485v 0
122648v 0
122853v 0
123018v 0
123170v 833 ROOT
123894v 0
124074v 0
124226v 0
124442v 538
124659v 6
124854v 0
125078v 42
125289v 2
125447v 0
125633v 6
125841v 365
126143v 0
126264v 23207 ROOT
133978v 0
134136v 0
134328v 5
134564v 1
134737v 0
134898v 0
135013v 0
135285v 0
135578v 0
135857v 28
136044v 0
136254v 0
136443v 0
136567v 0
136673v 0
136800v 0
136991v 18
137313v 1527
137791v 0
137940v 0
138069v 0
138217v 6
138360v 0
138508v 510
139160v 0
139367v 0
139586v 0
139729v 0
139908v 0
140123v 1665
140751v 5
140967v 549
141362v 0
141524v 0
141632v 0
141749v 0
141914v 1
142055v 0
142191v 134
142967v 0
143065v 0
143204v 1
143338v 0
143540v 0
143704v 0
143914v 2
144040v 0
144169v 0
144314v 0
144446v 0
144544v 0
144694v 0
144850v 6
145147v 8
145299v 0
145448v 5
145623v 4
145772v 0
145902v 0
146023v 0
146138v 14729
147815v 192
148341v 0
148472v 3
148597v 126
148763v 1
148967v 0
149118v 0
149296v 0
149469v 3
149583v 7426
150096v 9
150287v 1612
150776v 28
150977v 4
151114v 0
151279v 3
151448v 0
151574v 0
151689v 747
152558v 52
152762v 1
152887v 3
153061v 1
153263v 481
153964v 14
154141v 2
154388v 8
154608v 6
154778v 19
154966v 0
155046v 1
155143v 35
155406v 11
155547v 12
155727v 0
155869v 40
156027v 3
156139v 0
156276v 1
156485v 2
156601v 2086
157219v 0
157347v 15
157462v 50
157623v 0
157844v 29
157950v 11
158094v 0
158222v 1
158384v 0
158503v 27
158687v 0
158804v 57
159236v 0
159368v 0
159553v 0
159642v 2
159880v 0
160086v 0
160261v 25
160447v 2
160653v 2
160880v 0
161012v 0
161225v 49
161731v 0
161872v 0
161987v 1
162167v 0
162350v 0
162549v 0
162688v 68
163251v 3
163441v 0
163703v 0
163915v 0
164072v 0
164201v 2
164444v 2
164658v 0
164816v 0
165103v 0
165244v 0
165450v 1
165618v 2
165789v 1
165971v 0
166220v 0
166331v 0
166457v 0
166593v 0
166748v 0
166845v 0
166952v 0
167191v 0
167385v 8
167535v 1
167652v 28
167824v 2
167934v 0
168217v 0
168393v 0
168588v 77
168910v 5
169176v 0
169298v 28
169458v 7
169651v 2833
169806v 188
170381v 1
170500v 0
170695v 0
170857v 0
170997v 0
171127v 9
171339v 0
171458v 0
171586v 34
171852v 55
172258v 0
172381v 3
172505v 0
172732v 5
172909v 78
173007v 0
173159v 0
173338v 2695 ROOT
175804v 1
176021v 0
176137v 7
176327v 0
176459v 0
176618v 0
176756v 0
176874v 0
177011v 0
177136v 0
177243v 14
177578v 0
177714v 2
177861v 4
177984v 2
178102v 0
178235v 0
178380v 0
178502v 1
178652v 27
178773v 1
178898v 54
